angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.32,"[778, 261, 290, 365]",0.0,0.22,0.0,0.26,0.15,0.05
0.32,"[778, 261, 290, 365]",0.0,0.22,0.0,0.26,0.15,0.05
0.32,"[778, 261, 290, 365]",0.0,0.22,0.0,0.26,0.15,0.05
0.41,"[784, 274, 281, 350]",0.0,0.3,0.0,0.14,0.12,0.03
0.4,"[783, 274, 282, 350]",0.0,0.31,0.0,0.14,0.11,0.04
0.41,"[784, 276, 283, 352]",0.0,0.25,0.0,0.18,0.13,0.03
0.42,"[784, 276, 283, 352]",0.0,0.24,0.0,0.18,0.13,0.03
0.42,"[784, 276, 283, 352]",0.0,0.24,0.0,0.18,0.13,0.03
0.25,"[781, 264, 293, 371]",0.0,0.28,0.0,0.22,0.15,0.09
0.25,"[781, 264, 293, 371]",0.0,0.29,0.0,0.22,0.15,0.08
0.32,"[779, 263, 297, 376]",0.0,0.2,0.0,0.21,0.17,0.09
0.32,"[779, 263, 297, 376]",0.0,0.2,0.0,0.21,0.17,0.1
0.32,"[779, 263, 297, 376]",0.0,0.2,0.0,0.21,0.17,0.1
0.25,"[778, 261, 298, 378]",0.0,0.22,0.0,0.28,0.16,0.08
0.25,"[778, 261, 298, 378]",0.0,0.21,0.0,0.29,0.16,0.08
0.16,"[783, 283, 290, 365]",0.0,0.22,0.0,0.43,0.15,0.04
0.18,"[782, 282, 291, 366]",0.0,0.24,0.0,0.41,0.13,0.04
0.18,"[782, 282, 291, 366]",0.0,0.24,0.0,0.41,0.13,0.04
0.2,"[782, 262, 288, 377]",0.0,0.21,0.0,0.36,0.12,0.11
0.2,"[782, 262, 288, 377]",0.0,0.21,0.0,0.35,0.12,0.11
0.18,"[781, 257, 281, 381]",0.0,0.19,0.0,0.34,0.14,0.14
0.18,"[781, 257, 280, 381]",0.0,0.19,0.0,0.34,0.14,0.14
0.18,"[781, 257, 280, 381]",0.0,0.19,0.0,0.34,0.14,0.14
0.19,"[781, 254, 285, 388]",0.0,0.13,0.0,0.45,0.15,0.07
0.19,"[781, 254, 285, 388]",0.0,0.14,0.0,0.44,0.16,0.07
0.2,"[782, 258, 280, 381]",0.0,0.17,0.0,0.36,0.14,0.12
0.2,"[782, 258, 280, 381]",0.0,0.17,0.0,0.36,0.14,0.12
0.2,"[782, 258, 280, 381]",0.0,0.17,0.0,0.36,0.14,0.12
0.28,"[778, 267, 297, 375]",0.0,0.21,0.0,0.3,0.13,0.07
0.33,"[777, 267, 297, 375]",0.0,0.18,0.0,0.31,0.13,0.06
0.12,"[782, 283, 289, 366]",0.0,0.17,0.0,0.55,0.11,0.04
0.09,"[781, 282, 291, 368]",0.0,0.18,0.0,0.58,0.11,0.04
0.09,"[781, 282, 291, 368]",0.0,0.18,0.0,0.58,0.11,0.04
0.38,"[781, 268, 292, 368]",0.0,0.16,0.0,0.24,0.12,0.09
0.32,"[781, 266, 292, 370]",0.0,0.21,0.0,0.21,0.12,0.14
0.4,"[781, 267, 291, 367]",0.0,0.18,0.0,0.17,0.17,0.09
0.39,"[781, 267, 291, 367]",0.0,0.19,0.0,0.17,0.16,0.09
0.39,"[781, 267, 291, 367]",0.0,0.19,0.0,0.17,0.16,0.09
0.37,"[780, 265, 287, 363]",0.0,0.1,0.0,0.27,0.19,0.07
0.35,"[780, 264, 287, 365]",0.0,0.11,0.0,0.27,0.19,0.07
0.28,"[781, 260, 284, 361]",0.0,0.05,0.0,0.32,0.32,0.02
0.28,"[781, 259, 284, 362]",0.0,0.05,0.0,0.31,0.33,0.03
0.28,"[781, 259, 284, 362]",0.0,0.05,0.0,0.31,0.33,0.03
0.36,"[790, 270, 275, 350]",0.0,0.1,0.0,0.22,0.29,0.03
0.37,"[790, 270, 275, 351]",0.0,0.11,0.0,0.21,0.27,0.03
0.53,"[792, 280, 270, 341]",0.0,0.16,0.0,0.14,0.09,0.08
0.55,"[788, 277, 275, 345]",0.0,0.13,0.0,0.17,0.08,0.07
0.55,"[788, 277, 275, 345]",0.0,0.13,0.0,0.17,0.08,0.07
0.34,"[789, 269, 286, 380]",0.0,0.19,0.0,0.2,0.05,0.21
0.38,"[788, 268, 287, 380]",0.0,0.18,0.0,0.19,0.06,0.18
0.25,"[797, 271, 280, 372]",0.0,0.26,0.0,0.08,0.03,0.38
0.25,"[797, 271, 280, 372]",0.0,0.26,0.0,0.08,0.03,0.38
0.25,"[797, 271, 280, 372]",0.0,0.26,0.0,0.08,0.03,0.38
0.33,"[794, 274, 283, 368]",0.0,0.29,0.0,0.12,0.04,0.21
0.32,"[794, 275, 282, 367]",0.0,0.32,0.0,0.11,0.03,0.22
0.43,"[784, 267, 293, 376]",0.0,0.19,0.0,0.23,0.11,0.04
0.43,"[784, 267, 293, 376]",0.0,0.19,0.0,0.22,0.11,0.04
0.43,"[784, 267, 293, 376]",0.0,0.19,0.0,0.22,0.11,0.04
0.5,"[792, 280, 272, 344]",0.0,0.18,0.0,0.15,0.1,0.07
0.53,"[793, 281, 271, 343]",0.0,0.16,0.0,0.14,0.11,0.05
0.22,"[795, 282, 270, 342]",0.0,0.21,0.0,0.35,0.21,0.01
0.22,"[795, 282, 270, 342]",0.0,0.21,0.0,0.35,0.2,0.01
0.22,"[795, 282, 270, 342]",0.0,0.21,0.0,0.35,0.2,0.01
0.2,"[787, 276, 279, 358]",0.0,0.2,0.0,0.43,0.17,0.0
0.21,"[787, 276, 279, 358]",0.0,0.2,0.0,0.42,0.17,0.0
0.15,"[788, 262, 283, 362]",0.0,0.22,0.0,0.33,0.3,0.01
0.15,"[788, 262, 283, 362]",0.0,0.22,0.0,0.32,0.3,0.01
0.15,"[788, 262, 283, 362]",0.0,0.22,0.0,0.32,0.3,0.01
0.17,"[789, 263, 285, 360]",0.0,0.17,0.0,0.3,0.35,0.02
0.16,"[788, 264, 286, 360]",0.0,0.22,0.0,0.3,0.3,0.02
0.17,"[791, 263, 284, 359]",0.0,0.21,0.0,0.27,0.33,0.02
0.16,"[791, 263, 284, 360]",0.0,0.18,0.0,0.32,0.31,0.02
0.16,"[791, 263, 284, 360]",0.0,0.18,0.0,0.33,0.31,0.02
0.17,"[791, 265, 284, 358]",0.0,0.21,0.0,0.31,0.29,0.03
0.17,"[791, 265, 284, 358]",0.0,0.2,0.0,0.31,0.29,0.03
0.2,"[790, 252, 276, 343]",0.0,0.38,0.0,0.21,0.17,0.03
0.21,"[790, 252, 276, 343]",0.0,0.38,0.0,0.21,0.17,0.03
0.21,"[790, 252, 276, 343]",0.0,0.36,0.0,0.22,0.18,0.03
0.22,"[790, 252, 276, 343]",0.0,0.35,0.0,0.22,0.18,0.03
0.17,"[793, 252, 275, 343]",0.0,0.42,0.0,0.21,0.16,0.03
0.17,"[793, 252, 275, 343]",0.0,0.42,0.0,0.21,0.16,0.03
0.17,"[793, 252, 275, 343]",0.0,0.42,0.0,0.21,0.16,0.03
0.16,"[794, 253, 275, 344]",0.0,0.43,0.0,0.19,0.2,0.02
0.16,"[794, 253, 275, 344]",0.0,0.43,0.0,0.19,0.2,0.02
0.18,"[795, 253, 274, 344]",0.0,0.4,0.0,0.22,0.17,0.02
0.18,"[795, 253, 274, 344]",0.0,0.4,0.0,0.22,0.18,0.02
0.18,"[795, 253, 274, 344]",0.0,0.4,0.0,0.22,0.18,0.02
0.19,"[795, 253, 275, 344]",0.0,0.37,0.0,0.23,0.18,0.03
0.17,"[795, 253, 274, 344]",0.0,0.38,0.0,0.25,0.16,0.04
0.19,"[795, 250, 277, 348]",0.0,0.44,0.0,0.19,0.14,0.04
0.23,"[795, 249, 277, 349]",0.0,0.43,0.0,0.15,0.14,0.05
0.23,"[795, 249, 277, 349]",0.0,0.43,0.0,0.15,0.14,0.05
