angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[847, 202, 277, 347]",0.0,0.03,0.0,0.91,0.06,0.0
0.01,"[849, 200, 278, 349]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[849, 200, 278, 349]",0.0,0.05,0.0,0.89,0.04,0.01
0.01,"[849, 200, 278, 350]",0.0,0.06,0.0,0.86,0.04,0.02
0.01,"[848, 200, 279, 350]",0.0,0.06,0.0,0.86,0.04,0.02
0.01,"[848, 200, 279, 350]",0.0,0.06,0.0,0.86,0.04,0.02
0.01,"[848, 197, 280, 353]",0.0,0.11,0.0,0.79,0.06,0.04
0.01,"[848, 197, 280, 353]",0.0,0.11,0.0,0.79,0.06,0.04
0.01,"[847, 194, 284, 358]",0.0,0.32,0.0,0.28,0.05,0.34
0.01,"[848, 194, 283, 358]",0.0,0.3,0.0,0.3,0.06,0.33
0.01,"[848, 194, 283, 358]",0.0,0.3,0.0,0.3,0.06,0.33
0.01,"[848, 191, 282, 360]",0.0,0.4,0.0,0.03,0.02,0.53
0.01,"[849, 194, 281, 356]",0.0,0.38,0.0,0.05,0.02,0.54
0.02,"[845, 187, 282, 356]",0.0,0.32,0.03,0.02,0.02,0.59
0.02,"[845, 188, 281, 355]",0.0,0.37,0.04,0.02,0.02,0.53
0.02,"[847, 190, 280, 353]",0.0,0.27,0.06,0.02,0.01,0.61
0.01,"[845, 186, 280, 353]",0.0,0.05,0.49,0.01,0.0,0.44
0.01,"[845, 187, 281, 352]",0.0,0.04,0.53,0.01,0.0,0.4
0.0,"[847, 188, 279, 348]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[847, 188, 279, 349]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[847, 188, 278, 349]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[832, 184, 295, 361]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[832, 182, 297, 362]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[844, 183, 283, 350]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[844, 183, 282, 350]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[844, 183, 283, 351]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[841, 181, 283, 352]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[840, 180, 284, 353]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[829, 166, 293, 372]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[829, 166, 293, 372]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[829, 166, 293, 372]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[825, 168, 294, 370]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[825, 168, 294, 370]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[828, 166, 292, 371]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[828, 167, 292, 370]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[828, 167, 292, 370]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[827, 167, 293, 370]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[827, 166, 293, 371]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[824, 167, 296, 374]",0.0,0.0,0.99,0.0,0.0,0.01
