X,Y,Theta,ActionL,ActionR,Error
0,8.99,-1.5707963267948966,0.98236083984375,-0.9951171874990823,0.0
-0.0024658413762644825,8.990654677422286,-1.8303078789396252,0.9833984374995453,-0.9958496093749218,0.0006577607139570098
-0.004627835270967172,8.991890415922972,-2.0900517171121273,0.25000000000007794,0.9999999999999944,0.001338059470149018
0.22355969113577584,8.88976082769126,-1.9916265202617445,0.2812500000007798,0.9999999999999962,0.02880358690735445
0.4662716853741438,8.80757232269869,-1.89730237328022,0.5000000000000142,1.0,0.05826149564333601
0.7561199816406192,8.730190379382286,-1.8316855753799592,0.5000000000000142,1.0,0.09475489392427884
1.050418434034765,8.671980234919209,-1.7660687774796986,0.5000000000000568,1.0,0.1296627067119062
1.3479003762595916,8.633192426910096,-1.7004519795794435,0.5000000000000124,1.0,0.16294156789414002
1.6472854402155677,8.613993898839498,-1.6348351816791826,0.5000000000000284,1.0,0.1945505252052029
1.9472850667300265,8.614467281547844,-1.569218383778924,0.5000000000000142,0.937499999999988,0.2244510998997759
2.2342849428629012,8.631417830203116,-1.5118036856161978,0.5,0.71484375,0.25266143281174464
2.476330797764505,8.652574805448037,-1.4836089677684288,1.0,-0.9980284604275607,0.27896903920180094
2.4767190817837292,8.652506145038464,-1.7458174271421245,1.0,-7.888609052210118e-31,0.27906737620162575
2.6674129668184983,8.592208199714047,-1.8770510229426494,1.0,0.5,0.31908539671369346
2.9469076524603146,8.4832003068898,-1.9426678208429118,1.0,1.0,0.372351323910434
3.3195672333160693,8.337856449790806,-1.9426678208429118,1.0,1.0,0.43423647460347875
3.692226814171824,8.192512592691811,-1.9426678208429118,1.0,0.5,0.4964927500912246
3.96397240730804,8.065412897133378,-2.008284618743174,1.0,0.75,0.5515830555223384
4.2759742659093565,7.906810122159785,-2.0410930176933055,0.9726562500024443,0.5,0.6120620896068159
4.52975103214442,7.757324302945637,-2.103121396958718,0.570800781250675,0.84375,0.6670809490556595
4.778500581624601,7.622558512988087,-2.0673012895113003,1.0,-7.888609052210118e-31,0.7091302648356659
4.940372133104347,7.505095323768911,-2.198534885311825,0.7851562500009006,0.9999999999999947,0.7523979369346867
5.235134668148263,7.303634753405442,-2.170340167464175,0.7812500000006821,0.625,0.8082247116054027
5.464029961708491,7.1402073778343516,-2.1908454168080964,0.9062500000000249,0.5,0.8578280780006391
5.683891249911724,6.964814742727808,-2.244159065102063,0.7661132812512486,0.6249999999999984,0.9114489361881747
5.898135765935724,6.787312253154882,-2.2626778684158753,0.9062500000000142,0.5,0.9611807900913568
6.104842015812964,6.596592330856006,-2.3159915167098406,0.7656250000000568,0.625,1.015553176429314
6.305736343548007,6.4042515273095635,-2.3344462411192968,0.7812500000000195,0.6249999999999969,1.066053564696656
6.504857172115721,6.205625098729405,-2.3549514904631317,0.8906250000000568,0.5,1.1176948339170363
6.691442209247626,5.999373942263575,-2.406214613822719,0.7812500000000178,0.6249999999999964,1.172245866907881
6.875807590707306,5.786980513412238,-2.426719863166554,0.7656250000001084,0.6249999999999949,1.2245633224299577
7.05421753197705,5.573618360064607,-2.445174587576018,0.9062500000000142,0.4999999999999989,1.2764327234034933
7.22287826321029,5.348551436151141,-2.498488235869983,0.7656250000000568,0.6249999999999993,1.3326686290513623
7.3855294208990365,5.12294532690869,-2.5169429602794393,0.7812500000000142,0.6249999999999973,1.3850926472054754
7.545295781648164,4.89147983817877,-2.5374482096232733,1.0,-7.888609052210118e-31,1.438641351245524
7.6363916982423525,4.713430592238596,-2.668681805423798,0.7509765625034106,1.0,1.4837975210656675
7.805999924620657,4.407048793754652,-2.6360015642825134,0.5000000000000209,0.9374999999999944,1.5441695993062652
7.959447432823739,4.163923080951035,-2.578586866119787,1.0,-7.888609052210118e-31,1.591961041234726
8.043143634521776,3.982277971406843,-2.709820461920312,0.781250000009095,0.9999999999999996,1.6380129053718329
8.201453207814179,3.6631351483553547,-2.6811131128401406,0.8125000000000213,0.6093749999999822,1.7011794125177957
8.32098809673432,3.4051030748531446,-2.7077699369871273,1.0,-7.888609052210118e-31,1.7574222356809386
8.380586635726058,3.214189444773859,-2.839003532787652,0.7578125000024656,0.9999999999999931,1.8028802655348537
8.495961101585166,2.8820977043852714,-2.807220396305037,0.5000000000000211,0.9374999999999847,1.8651128395943173
8.605740267908509,2.6163820958084463,-2.749805698142312,1.0,-7.888609052210118e-31,1.91465202063557
8.657263322652922,2.4231325813723057,-2.8810392939428366,0.8281250000000142,0.9667968749999962,1.9610005471354424
8.756039960516876,2.0780051305567624,-2.862840885150188,1.0,-7.888609052210118e-31,2.0272665866610815
8.785436703646573,1.8801773481464885,-2.994074480950713,0.7812500000000853,0.999999999999994,2.072399960220424
8.847892604818385,1.5294447963226978,-2.96536713186936,0.5625000000000142,0.8593749999999909,2.1363221181502947
8.908614814471122,1.2516283931354675,-2.926407158116082,1.0,-7.888609052210118e-31,2.1877937199777273
8.925385478475018,1.0523327714352695,-3.057640753916607,0.8125000000000133,0.9921874999999778,2.2333886189697307
8.964123390316209,0.6934800814740085,-3.0340597171712047,0.8789062500003695,0.5,2.2995281115568207
8.980056794293498,0.4181594965383743,-3.083784946830046,0.7812500000000284,0.625,2.356159564853049
8.99054567754656,0.13710514978652838,-3.104290196173882,0.8906250000000853,0.5,2.4115523949849385
8.98666299345649,-0.14099274734551792,-3.155553319533473,0.7812500000000497,0.625,2.468388234382732
8.976971373825885,-0.4220757155398595,-3.1760585688773113,0.7656250000001563,0.625,2.5234317072552077
8.962259690063627,-0.6998113488062747,-3.194513293286781,0.906250000000014,0.4999999999999999,2.57800280876837
8.932437464745362,-0.9794757859037866,-3.2478269415807457,0.7656250000000568,0.625,2.635373656526008
8.89784812477363,-1.255441532302368,-3.266281665990202,0.7812500000000142,0.625,2.6894761458541088
8.857155566925655,-1.5337321685727803,-3.286786915334036,0.8906250000000107,0.5,2.744604731241399
8.802866653577055,-1.8065072215237958,-3.338050038693617,0.7812500000000426,0.625,2.8008142149155812
8.742323523162652,-2.0811635374162747,-3.3585552880374547,0.7656250000000533,0.625,2.8553271200889925
8.677451186006746,-2.3516170371106515,-3.3770100124469105,0.9062500000000213,0.49999999999998557,2.9093713755649544
8.597369188660304,-2.6212249676338564,-3.4303236607408785,0.7656250000000391,0.625,2.965803243401947
