X,Y,Theta,ActionL,ActionR,Distance
0,0,-1.5707963267948966,8,6.75,3.6874999999999996
3.610247971037197,-0.7508434175124673,-1.7758488202332168,8,5.5848158131557,6.945405288368651
6.410868095109875,-2.6719702256577444,-2.1720404519333973,8,5.679305784404278,9.974218362107889
8.310288032553725,-5.515808621680463,-2.552731760266029,8,5.672413340636661,12.639169176203621
9.012923529349685,-8.860914564467404,-2.934553718823007,8,5.673825234110154,14.845664594546166
8.419252578188651,-12.227425864769138,-3.316144067558218,8,5.674366731686856,16.513700725919417
6.614790332508175,-15.130990070784787,-3.6976455879507943,8,5.674946357047814,17.583047567168467
3.8590935559682733,-17.154327695237527,-4.079052025442951,8,4.0,17.107464271749947
0.8598754054949338,-17.085840573300043,-4.7352200044455754,8,7.999999999999989,17.28200499235327
-3.139082128469516,-16.99452441071672,-4.735220004445577,8,6.999999999999993,17.668706226625652
-6.823794596018338,-16.29782215617016,-4.899261999196234,8,5.999999999999998,17.601665645911446
-9.869893233411062,-14.574081139870383,-5.227345988697547,8,6.999999999999993,17.68732322607152
-12.788149792065953,-12.219027285312551,-5.391387983448204,8,6.962337090030429,17.92765684709408
-15.25906556915193,-9.410727813696521,-5.561608277078383,8,5.999999999999982,17.713394393714193
-16.601024488327816,-6.178213891182921,-5.889692266579698,8,7.4693836106412945,17.94148183799073
-17.767708469605196,-2.4910452187929044,-5.976735637537491,8,5.999999999999982,17.720694073362072
-17.691994256681724,1.008135736510972,-6.304819627038806,8,7.487410905072409,17.953285388283955
-17.28342229764825,4.858371117393715,-6.388905764658161,8,5.999999999999982,17.736297752592023
-15.812281685321555,8.0341773612888,-6.716989754159476,8,7.4757175948803365,17.96458205751801
-13.890529579565714,11.392076039972173,-6.802994085707978,8,6.0,17.743111170125676
-11.26592157752679,13.707552845218393,-7.13107807520929,8,7.488327129136074,17.974559400007113
-8.15775582828932,16.01673516889118,-7.2150139136056035,8,6.0,17.755689718301454
-4.825533199202457,17.087385602133253,-7.543097903106916,8,7.480002625237457,17.98389251148583
-1.0535827961034583,17.95300401482802,-7.628399309728068,8,6.0,17.761618031926833
2.428046761662041,17.594876073313245,-7.95648329922938,8,7.489823952055815,17.99235403065341
6.233572363412705,16.878014668629348,-8.04017359580815,8,6.0,17.77214037844452
9.280844260112831,15.156348618670291,-8.368257585309463,8,6.999999999999998,17.685622138855184
12.20070406770465,12.803282809133751,-8.53229958006012,8,7.0,17.779313839214574
14.697092774362567,10.004971992717746,-8.696341574810775,8,6.0,17.434273770125486
16.06119291299999,6.781739017618154,-9.024425564312088,8,7.999999999999995,17.890446467434543
17.620164500014184,3.098044188932908,-9.024425564312088,8,5.9999999999999964,17.877200095332107
17.872883809771334,-0.39282002361903023,-9.3525095538134,8,6.0,17.402509632894997
16.987262940956988,-3.7789203878611364,-9.680593543314712,8,8.0,17.71180339635009
15.975124805169164,-7.648749375566401,-9.680593543314712,8,6.0,17.577853204732104
14.04563917685263,-10.568866703709219,-10.008677532816025,8,7.4999999999999485,17.92086323103569
11.651728956417115,-13.615966776974663,-10.09069853019136,8,5.9999999999999964,17.804991503032696
8.717971100884975,-15.524648218468622,-10.418782519692673,8,7.0,17.82952187531252
5.282891332035071,-17.02888456347498,-10.58282451444333,8,5.9999999999999964,17.41764531378116
1.795428356362334,-17.32486090258311,-10.910908503944642,8,8.0,17.79839768764216
