X,Y,Theta,ActionL,ActionR,Error
0,8.99,-1.5707963267948966,0.9946899414063637,-0.9971933364868182,0.0
0.004326025199247044,8.992520605818223,-4.184816376523482,0.9963378906251137,-0.994140625,0.0059328493462198605
0.00648592307595784,8.996347712567637,-6.796992906215232,1.0,-7.888609052210118e-31,0.011149889740722802
1.9416372233160013,8.491184921796911,-8.109328864220481,0.7083435058592613,0.5,2.1933035960384313
4.028280428243603,7.272047420143192,-8.382745538576467,0.875,0.875,3.8840380694709364
7.0502899734735465,5.506414868183666,-8.382745538576467,0.738961218390557,-7.888609052210118e-31,6.061527333739812
7.157002117728867,4.032349995998775,-9.352510917041764,0.75,1.0,7.1164467217102185
8.521097862362407,0.8091151613221781,-9.024426927540452,0.6875,-7.888609052210118e-31,8.696789605387075
7.859620437009116,-0.3963194556305547,-9.92665789866906,0.75,1.0,9.369533930724156
7.254392211631227,-3.8435935664615943,-9.598573909167747,0.6793413162231445,-7.888609052210118e-31,10.701918845745732
6.065621106352088,-4.501500668539532,-10.490097946205994,0.75,1.0,11.041910748818673
3.712766376791646,-7.092653813682648,-10.162013956704682,0.8725585937480353,0.5,12.009898811192285
1.129068340032104,-8.020108841126687,-10.650935995744097,0.7499999999999991,0.5,12.880532363394948
-1.3705891116342235,-8.061492706690366,-10.979019985245408,0.75,0.5,13.275624363412556
-3.750253640581173,-7.295205078138467,-11.30710397474672,0.7499999999999991,0.5,13.352978387438844
-5.756069661949259,-5.8029912568571165,-11.635187964248031,0.7499999999999964,0.5,13.106275884549392
-7.174062645702424,-3.7440362068313124,-11.963271953749338,0.875,0.75,12.53903314683784
-8.555591471465092,-0.80228874935186,-12.127313948499994,0.6875,-7.888609052210118e-31,11.93235296023824
-7.941254933131408,0.42783954382254974,-13.029544919628602,0.75,1.0,10.797828652024116
-7.469875617475348,3.895951644198145,-12.70146093012729,0.7027403116226196,-7.888609052210118e-31,9.48814686216805
-6.245641549197769,4.586333225924045,-13.623692310209467,0.75,1.0,8.050883879994778
-3.913586650644188,7.1962221028941435,-13.295608320708155,0.694897107775887,-7.888609052210118e-31,6.29971558349155
-2.5272330636936093,7.09848933699429,-14.2075467823563,0.75,1.0,4.786995360425737
0.8571887097316364,7.990503495830973,-13.879462792854987,0.8749999999999991,0.5,3.371982023919472
3.531972910350459,7.35173164288196,-14.371588777106954,0.75,0.5,3.819224270457453
5.646776391566501,6.018462639328472,-14.699672766608266,0.75,0.5,5.41101761253862
7.219160363020556,4.074855516910371,-15.027756756109579,0.75,0.5,7.380809287033791
8.081387545847614,1.728248544025027,-15.355840745610891,0.7499999999999991,0.5,9.396327947225192
