X,Y,Theta,ActionL,ActionR,Error
-8.281447671857936,3.5235940518588587,-6.683581816250435,0.908203125003638,0.49194335937484124,0.00608654724320251
-8.27039188166239,3.5493221216317545,-6.689044542833489,0.5332183837906541,0.8666992187495453,0.006010341748728288
-8.259450581886906,3.575094115671482,-6.684668153923267,1.0,-7.888609052210118e-31,0.00607138790912501
-8.25139399124465,3.5933996161350885,-6.6977915135033195,0.8165283203170475,0.9833984375,0.005940716812401991
-8.236964906822802,3.6263798534924745,-6.695601616952362,0.9082031250009095,0.4919433593743421,0.005979951163992149
-8.225600676438932,3.6519731795534938,-6.701064343535387,0.7832031250017621,0.6166992187499005,0.005903842694351002
-8.214182540796179,3.6775371543473367,-6.7032494341686135,0.7832031250013642,0.6166992187497751,0.005873417571063801
-8.202708572854636,3.70307611847066,-6.705434524801836,0.7832336426054098,0.6166992187497877,0.0058430011995729515
-8.19117856583353,3.7285905015636156,-6.70762001592855,0.9082031250027143,0.4919433593729702,0.005812587628527455
-8.179507572776421,3.7540454027055317,-6.7130827425116175,0.7832031250026148,0.6166992187498868,0.005736602250106308
-8.167783031100216,3.779470306860718,-6.715267833144855,0.7832031250022737,0.6166992187497742,0.005706228877481089
-8.156002961738414,3.8048695311529697,-6.71745292377809,0.7832031250007958,0.6169433593676144,0.005675865883442195
-8.144165438147224,3.83024741731994,-6.719634810466189,0.9082031250013642,0.4916992187499908,0.005645552791006258
-8.132191466555367,3.8555558078877654,-6.725100740994423,0.783203125007276,0.61669921874998,0.005569681857584725
-8.12016222246587,3.880837973844386,-6.727285831627721,0.7833251953159106,0.6166992187497791,0.005539369565454389
-8.108076669096512,3.906095977402632,-6.729472524233575,0.908203125050477,0.49169921874863765,0.005509044600194074
-8.09585430423738,3.9312853486953006,-6.734938454762471,0.7832031250004263,0.6169433593738933,0.005433311535406996
-8.083574867021571,3.956452380557348,-6.737120341450483,0.7832031250034106,0.6166992187495275,0.005403095980815573
-8.071242617642367,3.981588137042226,-6.739305432083736,0.9082031250027285,0.491699218749994,0.005372855126870442
-8.058773162869691,4.006656111162404,-6.744771362611987,0.5344544649415184,0.8656463623045361,0.005297278155046611
-8.046411027228597,4.031781606838574,-6.740425012252892,1.0,-7.888609052210118e-31,0.005357391303435919
-8.037346828179505,4.049609682887279,-6.753548371832944,0.8165283203347258,0.9833984374991473,0.005227931099484555
-8.021102244933312,4.081734564966192,-6.75135847528223,0.9082031250004547,0.49194335935909195,0.005266786875671653
-8.008329410502467,4.106654813192644,-6.75682120186545,0.7832031250036344,0.6166992187498779,0.005191434757182899
-7.99550439026857,4.1315427517336065,-6.759006292498701,0.7832031250069349,0.6166992187496629,0.005161326071942041
-7.982625018293826,4.156402607050126,-6.761191383131998,0.783325195317957,0.61669921875,0.005131235045904779
-7.969690188484771,4.181236405023962,-6.763378075737877,1.0,-7.888609052210118e-31,0.0051011374732142616
-7.9602192040055,4.198851752110904,-6.776501435317929,0.8164062500002274,0.9838867187497771,0.004972430776025139
-7.943238400102684,4.230601936490626,-6.774303528903893,0.5332031250009095,0.8666992187486453,0.0050112012635883585
-7.930142357625392,4.255348336233764,-6.769926939747099,0.7836914062504547,0.6162090301509198,0.005071301113063095
-7.916991973851837,4.280065858345474,-6.772124871191974,1.0,-7.888609052210118e-31,0.005041115406004149
-7.9073672757926925,4.297597691885361,-6.7852482307720265,0.8164062500009095,0.9833984375,0.004912704934649814
-7.890113890925045,4.329189454670444,-6.783056732248417,0.533325195314319,0.8666992187495506,0.0049512597624741354
-7.876800542372092,4.353822402003184,-6.778681745064227,1.0,-7.888609052210118e-31,0.0050112052395636965
-7.867061098010003,4.3712907511958745,-6.791805104644279,0.941528320316138,0.8583984375,0.004883012697514692
-7.849496520768185,4.402713357066763,-6.792896047988323,0.908203125001819,0.4919433593590974,0.004863867453523108
-7.835699874699924,4.427081710075008,-6.798358774571561,0.5336914062527285,0.8662033081051337,0.004789401399716509
-7.822012156905302,4.45150564231553,-6.793995101318905,1.0,-7.888609052210118e-31,0.004848884865043268
-7.812006365865507,4.4688228056417785,-6.807118460898957,0.8164367676941993,0.9833984374998883,0.004721372731462153
-7.794065926302334,4.500030229992765,-6.8049273628700115,0.783203125003638,0.616943359374555,0.004759642020206668
-7.780056576498517,4.524276924389341,-6.807109249558057,0.9082031250035243,0.4916992187497803,0.004730000022715774
-7.765917371735071,4.5484424684029925,-6.812575180086322,0.7832031250009095,0.6169433593749316,0.00465589037563454
-7.751722999147267,4.572581313817026,-6.814757066774327,0.7832031250013642,0.6166992187496407,0.00462634948452678
-7.737478399157175,4.596684882016321,-6.816942157407551,0.908203125003638,0.4916992187499988,0.004596800845902663
-7.723102264181952,4.620710230546424,-6.822408087935814,0.5958251953410354,0.8041992187496612,0.00452303548985512
-7.708790633953479,4.644776900117086,-6.819673520699481,1.0,-7.888609052210118e-31,0.004559931700722116
-7.6983435130324525,4.661831449787524,-6.832796880279533,0.816406250007276,0.9833984374999052,0.004433840995719314
